H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
H,S,-1,-1,S,S,S,S,S,S,S,S,S,S,S,-1,S,S,-1,H
H,S,S,S,S,S,-1,S,-1,-1,-1,S,S,S,S,S,S,S,-1,H
H,S,H,H,S,S,S,S,-1,S,S,S,S,S,S,H,H,H,-1,H
H,S,H,S,S,S,S,S,-1,-1,-1,-1,S,S,S,-1,-1,H,-1,H
H,S,H,-1,S,S,S,S,-1,S,-1,-1,-1,S,S,-1,-1,H,-1,H
H,S,S,S,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,S,S,-1,H
H,S,S,S,S,-1,S,-1,S,H,H,S,S,S,S,-1,S,S,-1,H
H,S,S,S,-1,-1,-1,-1,S,-1,-1,H,S,-1,-1,-1,S,S,S,H
H,S,S,S,S,-1,S,-1,-1,S,S,-1,H,-1,S,-1,S,S,S,H
H,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,H,-1,H,S,-1,-1,-1,-1,H
H,S,S,S,-1,-1,S,-1,-1,S,S,H,-1,S,S,-1,S,S,S,H
H,S,S,S,-1,S,-1,S,S,-1,-1,S,-1,S,-1,-1,S,S,S,H
H,S,S,S,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,S,S,S,H
H,S,H,S,S,S,S,-1,-1,-1,-1,S,S,S,-1,S,S,H,S,H
H,S,H,S,S,S,S,S,S,S,-1,S,S,S,S,-1,-1,H,S,H
H,S,H,H,H,S,S,S,S,S,-1,S,S,S,S,H,H,S,S,H
H,-1,S,S,S,S,S,S,-1,-1,-1,-1,S,S,S,S,S,S,S,H
H,1,-1,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
