W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
U,W,W,W,W,W,W,Q,Q,W,W,W,W,W,W,U
U,W,U,Q,U,Q,U,Q,Q,U,Q,U,Q,U,W,U
U,W,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,W,U
U,W,U,Q,U,Q,U,Q,Q,U,Q,U,Q,U,W,U
U,B,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,B,U
U,Q,U,Q,U,Q,U,Q,Q,U,Q,U,Q,U,Q,U
U,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,U
U,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,U
U,Q,U,Q,U,Q,U,Q,Q,U,Q,U,Q,U,Q,U
U,1,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,B,U
U,W,U,Q,U,Q,U,Q,Q,U,Q,U,Q,U,W,U
U,W,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q,W,U
U,W,U,Q,U,Q,U,Q,Q,U,Q,U,Q,U,W,U
U,W,W,W,W,W,W,Q,Q,W,W,W,W,W,W,U
U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
